Year,Mo,Dy,Hr,Name,Latitude,Longitude,magnitude,deaths,location
1911,8,16,22,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS",7,137,7.7,,"MICRONESIA, FED. STATES OF"
1911,9,15,13,CHILE: NORTHERN,-20,-72,7.3,,CHILE
1911,9,22,5,ALASKA: PRINCE WILLIAM SOUND,60.5,-149,6.9,,ALASKA
1911,10,15,8,ITALY: ETNA,37.7,15.2,4.3,,ITALY
1911,11,18,21,"ALBANIA: KORCE, STAROVE, POGRADEC, SALXHIJAS",40.4,20.5,,,ALBANIA
1911,12,16,19,MEXICO: NEAR COAST OF GUERRERO,17,-100.7,7.6,,MEXICO
1912,1,24,16,GREECE: ASPROGERAKAS (KEPHALLENIA),38,20.5,7,,GREECE
1912,5,6,18,ICELAND,64,-20,7.5,,ICELAND
1912,5,8,,MEXICO: GUADALAJARA,20.4,-103.2,,,MEXICO
1912,5,23,2,"MYANMAR (BURMA): MANDALAY, MOGOK, MAYMYO",21,97,8,,MYANMAR (BURMA)
1912,6,8,4,"SANRIKU, JAPAN",40.5,142,6.6,,"SANRIKU, JAPAN"
1912,7,24,11,"PERU: HUANCABAMBA,CAJAMARCA: ECUADOR: GUAYAQUIL",-5.62,-80.413,7,,PERU
1912,8,9,1,TURKEY: MARMARA SEA,40.5,27.2,7.8,3000,TURKEY
1912,9,19,,MEXICO: ACAMBAY-TIXMADEJE,19.9,-99.9,,,MEXICO
1912,9,29,20,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS",7,138,7.5,,"MICRONESIA, FED. STATES OF"
1912,10,31,17,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS",7,138,6.9,,"MICRONESIA, FED. STATES OF"
1912,11,7,7,ALASKA: ALASKA PENINSULA,57.5,-155,7.5,,ALASKA
1912,11,8,7,PHILIPPINES: SORSOGON,12.6,124,,,PHILIPPINES
1912,11,19,13,"MEXICO: CENTRAL, ACAMBAY, TIXMADEJE",19.9,-99.8,7.8,,MEXICO
1912,12,6,,"MICRONESIA, FED. STATES OF: YAP IS, CAROLINE IS",,,,,"MICRONESIA, FED. STATES OF"
1912,12,7,22,ARGENTINA: SANTIAGO DEL ESTERO PROVINCE,-29,-62.5,7.5,,ARGENTINA
1913,1,19,23,RUSSIA: KURIL ISLANDS,46,152,7.5,,RUSSIA
1913,2,22,2,TASMAN SEA,-41.8,171.5,6.8,,TASMAN SEA
1913,2,24,2,"ECUADOR: GONZANAMA, SAN PEDRO, MOLLETURE",-3.4,-79.6,7.7,,ECUADOR
1913,3,14,8,INDONESIA: SANGIHE ISLAND,5.354,126.121,7.8,138,INDONESIA
1913,3,24,10,IRAN: TEYHAN,26.8,53.7,5.8,11,IRAN
1913,4,25,17,PHILIPPINES,9.5,127.8,7.7,,PHILIPPINES
1913,5,30,11,PAPUA NEW GUINEA: SOLOMON ISLANDS,-5,154,7.5,,PAPUA NEW GUINEA
1913,6,14,9,BULGARIA: TIRNOVO,43.5,25.5,6.8,,BULGARIA
1913,6,26,4,TONGA ISLANDS,-20,-174,7.6,,TONGA ISLANDS
1913,6,28,8,"ITALY: COSENZA,ROGLIANO,BISIGANO",39.6,16.2,,,ITALY
1913,7,28,6,PERU: AREQUIPA,-16.6,-73.3,7,,PERU
1913,8,1,17,RUSSIA: KURIL ISLANDS,47.5,155.5,7.7,,RUSSIA
1913,8,6,22,"PERU: CARAVELI, CHUQUIBAMBA, OCONA, ATICO",-17,-74,7.9,,PERU
